  0.46545455E+11  0.11511278E-30 -0.21676637E-29
  0.93090909E+11  0.15448936E-30 -0.21149034E-29
  0.13963636E+12  0.27332111E-30 -0.20552569E-29
  0.18618182E+12  0.28181085E-30 -0.18385213E-29
  0.23272727E+12  0.64971189E-31 -0.18308433E-29
  0.27927273E+12  0.31129545E-31 -0.20302579E-29
  0.32581818E+12  0.17847347E-30 -0.20838476E-29
  0.37236364E+12  0.27790442E-30 -0.21129582E-29
  0.41890909E+12  0.51213732E-30 -0.19841893E-29
  0.46545455E+12  0.42412114E-30 -0.17395755E-29
  0.51200000E+12  0.21376456E-30 -0.17170416E-29
  0.55854545E+12  0.16679125E-30 -0.18912912E-29
  0.60509091E+12  0.23775685E-30 -0.19849002E-29
  0.65163636E+12  0.34521425E-30 -0.20368710E-29
  0.69818182E+12  0.52214075E-30 -0.19364643E-29
  0.74472727E+12  0.47835223E-30 -0.17775772E-29
  0.79127273E+12  0.36145969E-30 -0.17694999E-29
  0.83781818E+12  0.36724370E-30 -0.18514437E-29
  0.88436364E+12  0.40835752E-30 -0.18878818E-29
  0.93090909E+12  0.50658856E-30 -0.19040674E-29
  0.97745455E+12  0.55213699E-30 -0.18121403E-29
  0.10240000E+13  0.51814603E-30 -0.17427886E-29
  0.10705455E+13  0.45199883E-30 -0.17699970E-29
  0.11170909E+13  0.46680208E-30 -0.18455256E-29
  0.11636364E+13  0.55181783E-30 -0.18798270E-29
  0.12101818E+13  0.66767995E-30 -0.18274848E-29
  0.12567273E+13  0.66433905E-30 -0.17270655E-29
  0.13032727E+13  0.61494530E-30 -0.16839712E-29
  0.13498182E+13  0.56277792E-30 -0.17078687E-29
  0.13963636E+13  0.56772330E-30 -0.17739515E-29
  0.14429091E+13  0.64841388E-30 -0.18115202E-29
  0.14894545E+13  0.72511511E-30 -0.17540985E-29
  0.15360000E+13  0.73087769E-30 -0.17013347E-29
  0.15825455E+13  0.71653936E-30 -0.16789581E-29
  0.16290909E+13  0.71576777E-30 -0.16736315E-29
  0.16756364E+13  0.72415509E-30 -0.16888947E-29
  0.17221818E+13  0.77634165E-30 -0.16859707E-29
