  0.50360472E+13 -0.29065592E-29  0.19026812E-29
  0.50814170E+13 -0.29306006E-29  0.18846141E-29
  0.51267868E+13 -0.29560394E-29  0.18619564E-29
  0.51721566E+13 -0.29817161E-29  0.18354205E-29
  0.52175264E+13 -0.30046068E-29  0.18029910E-29
  0.52628962E+13 -0.30188510E-29  0.17711302E-29
  0.53082660E+13 -0.30296288E-29  0.17451034E-29
  0.53536358E+13 -0.30424633E-29  0.17251440E-29
  0.53990056E+13 -0.30603299E-29  0.17070819E-29
  0.54443754E+13 -0.30818363E-29  0.16870948E-29
  0.54897452E+13 -0.31074929E-29  0.16648562E-29
  0.55351150E+13 -0.31325688E-29  0.16339405E-29
  0.55804848E+13 -0.31497335E-29  0.16020049E-29
  0.56258546E+13 -0.31647150E-29  0.15730099E-29
  0.56712244E+13 -0.31786773E-29  0.15480978E-29
  0.57165942E+13 -0.31952410E-29  0.15236246E-29
  0.57619640E+13 -0.32134029E-29  0.14998924E-29
  0.58073337E+13 -0.32345725E-29  0.14741690E-29
  0.58527035E+13 -0.32534343E-29  0.14429779E-29
  0.58980733E+13 -0.32675750E-29  0.14137450E-29
  0.59434431E+13 -0.32814361E-29  0.13874011E-29
  0.59888129E+13 -0.32967200E-29  0.13637277E-29
  0.60341827E+13 -0.33151644E-29  0.13404873E-29
  0.60795525E+13 -0.33370176E-29  0.13144401E-29
  0.61249223E+13 -0.33593498E-29  0.12843895E-29
  0.61702921E+13 -0.33774798E-29  0.12496107E-29
  0.62156619E+13 -0.33909788E-29  0.12159496E-29
  0.62610317E+13 -0.34015308E-29  0.11851430E-29
  0.63064015E+13 -0.34122012E-29  0.11589673E-29
  0.63517713E+13 -0.34258540E-29  0.11350507E-29
  0.63971411E+13 -0.34435244E-29  0.11110345E-29
  0.64425109E+13 -0.34646285E-29  0.10834983E-29
  0.64878807E+13 -0.34833041E-29  0.10517955E-29
  0.65332505E+13 -0.35000251E-29  0.10193819E-29
  0.65786203E+13 -0.35145155E-29  0.98673708E-30
  0.66239901E+13 -0.35280988E-29  0.95510975E-30
  0.66693599E+13 -0.35410745E-29  0.92467416E-30
  0.67147296E+13 -0.35552032E-29  0.89517366E-30
  0.67600994E+13 -0.35697963E-29  0.86318748E-30
  0.68054692E+13 -0.35819474E-29  0.83295067E-30
  0.68508390E+13 -0.35958159E-29  0.80328370E-30
  0.68962088E+13 -0.36097140E-29  0.77383575E-30
  0.69415786E+13 -0.36247671E-29  0.74418485E-30
  0.69869484E+13 -0.36414206E-29  0.71296497E-30
  0.70323182E+13 -0.36574620E-29  0.67947165E-30
  0.70776880E+13 -0.36707506E-29  0.64481145E-30
  0.71230578E+13 -0.36829114E-29  0.61084201E-30
  0.71684276E+13 -0.36939481E-29  0.57804030E-30
  0.72137974E+13 -0.37054069E-29  0.54622108E-30
  0.72591672E+13 -0.37172805E-29  0.51487421E-30
  0.73045370E+13 -0.37302684E-29  0.48403703E-30
  0.73499068E+13 -0.37445645E-29  0.45107422E-30
  0.73952766E+13 -0.37569995E-29  0.41798546E-30
  0.74406464E+13 -0.37705149E-29  0.38505140E-30
  0.74860162E+13 -0.37836451E-29  0.35030323E-30
  0.75313860E+13 -0.37953490E-29  0.31591528E-30
