  0.47829938E+11  0.21398981E-29 -0.38786595E-28
  0.95659876E+11  0.16855606E-29 -0.37267531E-28
  0.14348981E+12  0.10217459E-29 -0.37375305E-28
  0.19131975E+12  0.17812063E-29 -0.39001669E-28
  0.23914969E+12  0.46993319E-29 -0.37506657E-28
  0.28697963E+12  0.39822433E-29 -0.35714140E-28
  0.33480957E+12  0.33714475E-29 -0.35581202E-28
  0.38263950E+12  0.39561502E-29 -0.33159374E-28
  0.43046944E+12  0.94918555E-30 -0.39720338E-28
  0.47829938E+12  0.50336004E-29 -0.37022143E-28
  0.52612932E+12  0.61087008E-29 -0.36322755E-28
  0.57395926E+12  0.75953933E-29 -0.34099710E-28
  0.62178919E+12  0.44859616E-29 -0.35195807E-28
  0.66961913E+12  0.44997976E-29 -0.31183898E-28
  0.71744907E+12  0.48472530E-29 -0.34676680E-28
  0.76527901E+12  0.41643190E-29 -0.33008607E-28
  0.81310895E+12  0.95134136E-30 -0.36035356E-28
  0.86093888E+12  0.88638622E-29 -0.35702828E-28
  0.90876882E+12  0.42092702E-29 -0.33305269E-28
  0.95659876E+12  0.55282691E-29 -0.35044634E-28
  0.10044287E+13  0.59585689E-29 -0.33075798E-28
  0.10522586E+13  0.36698822E-29 -0.35128354E-28
  0.11000886E+13  0.44636442E-29 -0.35037787E-28
  0.11479185E+13  0.70204167E-29 -0.38113495E-28
  0.11957484E+13  0.10228177E-28 -0.34479898E-28
  0.12435784E+13  0.80605288E-29 -0.32318511E-28
  0.12914083E+13  0.63566586E-29 -0.31980173E-28
  0.13392383E+13  0.38141527E-29 -0.33100580E-28
  0.13870682E+13  0.49417420E-29 -0.35651642E-28
  0.14348981E+13  0.75452031E-29 -0.37504819E-28
  0.14827281E+13  0.97485514E-29 -0.35865941E-28
  0.15305580E+13  0.10815838E-28 -0.33936579E-28
  0.15783880E+13  0.99997356E-29 -0.32088409E-28
  0.16262179E+13  0.84888643E-29 -0.32115056E-28
  0.16740478E+13  0.47346936E-29 -0.34168620E-28
  0.17218778E+13  0.89356695E-29 -0.38544488E-28
  0.17697077E+13  0.13848525E-28 -0.34316716E-28
  0.18175376E+13  0.11476015E-28 -0.29080246E-28
  0.18653676E+13  0.46790955E-29 -0.29777497E-28
  0.19131975E+13  0.37945179E-29 -0.35919432E-28
  0.19610275E+13  0.96360366E-29 -0.40106192E-28
  0.20088574E+13  0.13108181E-28 -0.36962401E-28
  0.20566873E+13  0.14924617E-28 -0.33803136E-28
  0.21045173E+13  0.13374798E-28 -0.29076563E-28
  0.21523472E+13  0.73132819E-29 -0.30695850E-28
  0.22001771E+13  0.90487929E-29 -0.33910834E-28
  0.22480071E+13  0.91174013E-29 -0.35510930E-28
  0.22958370E+13  0.13941923E-28 -0.37941041E-28
  0.23436670E+13  0.16541670E-28 -0.32129982E-28
  0.23914969E+13  0.10016930E-28 -0.27994689E-28
  0.24393268E+13  0.59409850E-29 -0.35452193E-28
  0.24871568E+13  0.13881579E-28 -0.39852187E-28
  0.25349867E+13  0.17689250E-28 -0.35141834E-28
  0.25828167E+13  0.14612985E-28 -0.29597205E-28
  0.26306466E+13  0.12951560E-28 -0.30370169E-28
  0.26784765E+13  0.10631522E-28 -0.32291911E-28
  0.27263065E+13  0.10178578E-28 -0.33887952E-28
  0.27741364E+13  0.10678060E-28 -0.36574680E-28
  0.28219663E+13  0.15351032E-28 -0.39008667E-28
  0.28697963E+13  0.21198046E-28 -0.33214413E-28
  0.29176262E+13  0.12760077E-28 -0.29055466E-28
  0.29654562E+13  0.11952642E-28 -0.34161513E-28
  0.30132861E+13  0.13685326E-28 -0.37704146E-28
  0.30611160E+13  0.18643472E-28 -0.35753155E-28
  0.31089460E+13  0.20549048E-28 -0.32629871E-28
  0.31567759E+13  0.17015640E-28 -0.29518848E-28
  0.32046058E+13  0.12943596E-28 -0.29893860E-28
  0.32524358E+13  0.12948467E-28 -0.35279849E-28
  0.33002657E+13  0.16672538E-28 -0.37576515E-28
  0.33480957E+13  0.18158806E-28 -0.34836251E-28
  0.33959256E+13  0.21322475E-28 -0.32040666E-28
  0.34437555E+13  0.17010621E-28 -0.31843430E-28
  0.34915855E+13  0.13186912E-28 -0.31533032E-28
  0.35394154E+13  0.15949544E-28 -0.36437286E-28
  0.35872453E+13  0.20240879E-28 -0.38085515E-28
  0.36350753E+13  0.22419706E-28 -0.36903800E-28
  0.36829052E+13  0.20878050E-28 -0.29697703E-28
  0.37307352E+13  0.22067106E-28 -0.30858644E-28
  0.37785651E+13  0.17442014E-28 -0.27838226E-28
  0.38263950E+13  0.12972401E-28 -0.34134407E-28
  0.38742250E+13  0.16837791E-28 -0.38259767E-28
  0.39220549E+13  0.23569668E-28 -0.39820010E-28
  0.39698849E+13  0.23601964E-28 -0.33758905E-28
  0.40177148E+13  0.21918193E-28 -0.35164356E-28
  0.40655447E+13  0.24043019E-28 -0.35644512E-28
  0.41133747E+13  0.23035750E-28 -0.35012582E-28
  0.41612046E+13  0.28616717E-28 -0.33298186E-28
  0.42090345E+13  0.20658560E-28 -0.28974879E-28
  0.42568645E+13  0.18948286E-28 -0.35777863E-28
  0.43046944E+13  0.24110613E-28 -0.34677201E-28
  0.43525244E+13  0.23164908E-28 -0.33392798E-28
  0.44003543E+13  0.24331790E-28 -0.38437336E-28
  0.44481842E+13  0.32787610E-28 -0.33419430E-28
  0.44960142E+13  0.22850115E-28 -0.29015961E-28
  0.45438441E+13  0.24957987E-28 -0.33602350E-28
  0.45916740E+13  0.24190773E-28 -0.34212078E-28
  0.46395040E+13  0.25721298E-28 -0.41351646E-28
  0.46873339E+13  0.34359061E-28 -0.37223366E-28
  0.47351639E+13  0.34701407E-28 -0.31948668E-28
  0.47829938E+13  0.27261634E-28 -0.27334475E-28
  0.48308237E+13  0.24929151E-28 -0.33868719E-28
  0.48786537E+13  0.26679845E-28 -0.36594642E-28
  0.49264836E+13  0.33097345E-28 -0.37266801E-28
  0.49743136E+13  0.36442426E-28 -0.37521768E-28
  0.50221435E+13  0.35294933E-28 -0.29789804E-28
  0.50699734E+13  0.32404468E-28 -0.30065509E-28
  0.51178034E+13  0.28309531E-28 -0.35600799E-28
  0.51656333E+13  0.33279911E-28 -0.37480232E-28
  0.52134632E+13  0.40653207E-28 -0.36149949E-28
  0.52612932E+13  0.40657655E-28 -0.28109141E-28
  0.53091231E+13  0.30870103E-28 -0.30246857E-28
  0.53569531E+13  0.32963295E-28 -0.36230502E-28
  0.54047830E+13  0.37681339E-28 -0.35494540E-28
  0.54526129E+13  0.47013356E-28 -0.37284918E-28
  0.55004429E+13  0.45629290E-28 -0.32318133E-28
